Propriétaire,Joueur,Pos,Equipe,Salaire,Level,Statut,Slot,IR Date
Whalers,Jamie Benn,F,DAL,1000000,0,Grand Club,Actif,
Whalers,Leo Carlsson,F,ANA,950000,0,Grand Club,Actif,
Whalers,Cole Caufield,F,MTL,7850000,0,Grand Club,Actif,
Whalers,William Eklund,F,SJS,863000,0,Grand Club,Actif,
Whalers,Marcus Johansson,F,MIN,800000,0,Grand Club,Actif,
Whalers,Nathan MacKinnon,F,COL,12600000,0,Grand Club,Actif,
Whalers,Mitch Marner,F,VGK,12000000,0,Grand Club,Actif,
Whalers,Victor Olofsson,F,COL,1575000,0,Grand Club,Actif,
Whalers,Mark Scheifele,F,WPG,8500000,0,Grand Club,Actif,
Whalers,Juraj Slafkovsky,F,MTL,7600000,0,Grand Club,Actif,
Whalers,Troy Terry,F,ANA,7000000,0,Grand Club,Actif,
Whalers,Trevor Zegras,F,PHI,5750000,0,Grand Club,Actif,
Whalers,Nick Blankenburg,D,NSH,775000,0,Grand Club,Actif,
Whalers,Lane Hutson,D,MTL,950000,0,Grand Club,Actif,
Whalers,Kaedan Korczak,D,VGK,825000,0,Grand Club,Actif,
Whalers,Sam Malinski,D,COL,1400000,0,Grand Club,Actif,
Whalers,Rasmus Sandin,D,WSH,4600000,0,Grand Club,Actif,
Whalers,Olen Zellweger,D,ANA,844000,0,Grand Club,Actif,
Whalers,Jack Eichel,F,VGK,10000000,0,Grand Club,Actif,
Whalers,Matt Savoie,F,EDM,887000,0,Grand Club,Actif,
Whalers,Zach Werenski,D,CBJ,9583000,0,Grand Club,Actif,
Whalers,Owen Beck,F,MTL,853000,0,Club École,,
Whalers,Berkly Catton,F,SEA,943000,0,Club École,,
Whalers,Anton Frondell,F,CHI,975000,0,Club École,,
Whalers,Arseny Gritsyuk,F,NJD,925000,0,Club École,,
Whalers,Michael Hage,F,MTL,100000,0,Club École,,
Whalers,Tij Iginla,F,UTA,943000,0,Club École,,
Whalers,Nikolai Kovalenko,F,(N/A),100000,0,Club École,,
Whalers,Jonathan Lekkerimaki,F,VAN,918000,0,Club École,,
Whalers,Vasily Podkolzin,F,EDM,1000000,0,Club École,,
Whalers,Matthew Poitras,F,BOS,870000,0,Club École,,
Whalers,Ryan Suzuki,F,CAR,775000,0,Club École,,
Whalers,Florian Xhekaj,F,MTL,867000,0,Club École,,
Whalers,Lian Bichsel,D,DAL,918000,0,Club École,,
Whalers,Isaiah George,D,NYI,838000,0,Club École,,
Whalers,Niilopekka Muhonen,D,DAL,850000,0,Club École,,
Whalers,Shea Theodore,D,VGK,7425000,0,Club École,,
Whalers,Jake Oettinger,G,DAL,8250000,0,Grand Club,Actif,
Whalers,Jesper Wallstedt,G,MIN,2200000,0,Grand Club,Actif,
Whalers,Jacob Fowler,G,MTL,923000,0,Club École,,
Whalers,Ukko-Pekka Luukkonen,G,BUF,4750000,0,Club École,,
Canadiens,Macklin Celebrini,F,SJS,975000,0,Grand Club,Actif,
Canadiens,Sidney Crosby,F,PIT,8700000,0,Grand Club,Actif,
Canadiens,Adam Fantilli,F,CBJ,950000,0,Grand Club,Actif,
Canadiens,Wyatt Johnston,F,DAL,8400000,0,Grand Club,Actif,
Canadiens,Kirill Kaprizov,F,MIN,9000000,0,Grand Club,Actif,
Canadiens,Nikita Kucherov,F,TBL,9500000,0,Grand Club,Actif,
Canadiens,Dawson Mercer,F,NJD,4000000,0,Grand Club,Actif,
Canadiens,Matvei Michkov,F,PHI,950000,0,Grand Club,Actif,
Canadiens,David Pastrnak,F,BOS,11250000,0,Grand Club,Actif,
Canadiens,Jason Robertson,F,DAL,7750000,0,Grand Club,Actif,
Canadiens,Nick Suzuki,F,MTL,7875000,0,Grand Club,Actif,
Canadiens,Shane Wright,F,SEA,887000,0,Grand Club,Actif,
Canadiens,Brandt Clarke,D,LAK,863000,0,Grand Club,Actif,
Canadiens,Tony DeAngelo,D,NYI,1750000,0,Grand Club,Actif,
Canadiens,Quinn Hughes,D,MIN,7850000,0,Grand Club,Actif,
Canadiens,Artyom Levshunov,D,CHI,975000,0,Grand Club,Actif,
Canadiens,Jake Sanderson,D,OTT,8050000,0,Grand Club,Actif,
Canadiens,Jordan Spence,D,OTT,1500000,0,Grand Club,Actif,
Canadiens,Mavrik Bourque,F,DAL,950000,0,Club École,,
Canadiens,Luke Evangelista,F,NSH,3000000,0,Club École,,
Canadiens,Gage Goncalves,F,TBL,1200000,0,Club École,,
Canadiens,Dylan Holloway,F,STL,2290000,0,Club École,,
Canadiens,Seth Jarvis,F,CAR,7420000,0,Club École,,
Canadiens,Will Smith,F,SJS,950000,0,Club École,,
Canadiens,Seamus Casey,D,NJD,950000,0,Club École,,
Canadiens,Emil Lilleberg,D,TBL,800000,0,Club École,,
Canadiens,Mason Lohrei,D,BOS,3200000,0,Club École,,
Canadiens,Denton Mateychuk,D,CBJ,887000,0,Club École,,
Canadiens,Pavel Mintyukov,D,ANA,918000,0,Club École,,
Canadiens,Sam Rinzel,D,CHI,942000,0,Club École,,
Canadiens,Jet Greaves,G,CBJ,813000,0,Grand Club,Actif,
Canadiens,Dustin Wolf,G,CGY,850000,0,Grand Club,Actif,
Canadiens,Sebastian Cossa,G,DET,863000,0,Club École,,
Canadiens,Filip Gustavsson,G,MIN,3750000,0,Club École,,
Canadiens,Spencer Knight,G,CHI,4500000,0,Club École,,
Canadiens,Niklas Kokko,G,SEA,892000,0,Club École,,
Canadiens,Sam Montembeault,G,MTL,3150000,0,Club École,,
Cracheurs,Carter Bear,F,DET,975000,0,Grand Club,Actif,
Cracheurs,Jesper Bratt,F,NJD,7875000,0,Grand Club,Actif,
Cracheurs,Logan Cooley,F,UTA,950000,0,Grand Club,Actif,
Cracheurs,Nikita Grebenkin,F,PHI,875000,0,Grand Club,Actif,
Cracheurs,Dylan Guenther,F,UTA,7143000,0,Grand Club,Actif,
Cracheurs,Marat Khusnutdinov,F,BOS,925000,0,Grand Club,Actif,
Cracheurs,Brady Martin,F,NSH,975000,0,Grand Club,Actif,
Cracheurs,Mason McTavish,F,ANA,7000000,0,Grand Club,Actif,
Cracheurs,Shane Pinto,F,OTT,3750000,0,Grand Club,Actif,
Cracheurs,Rickard Rakell,F,PIT,5000000,0,Grand Club,Actif,
Cracheurs,Tim Stutzle,F,OTT,8350000,0,Grand Club,Actif,
Cracheurs,David Tomasek,F,(N/A),1200000,0,Grand Club,Actif,
Cracheurs,Martin Fehervary,D,WSH,2675000,0,Grand Club,Actif,
Cracheurs,Cam Fowler,D,STL,6500000,0,Grand Club,Actif,
Cracheurs,Kaiden Guhle,D,MTL,5550000,0,Grand Club,Actif,
Cracheurs,Thomas Harley,D,DAL,4000000,0,Grand Club,Actif,
Cracheurs,Simon Nemec,D,NJD,918000,0,Grand Club,Actif,
Cracheurs,Zayne Parekh,D,CGY,943000,0,Grand Club,Actif,
Cracheurs,Luke Hughes,D,NJD,9000000,0,Grand Club,Actif,
Cracheurs,Mikhail Sergachev,D,UTA,8500000,0,Grand Club,Actif,
Cracheurs,Anthony Beauvillier,F,WSH,2750000,0,Club École,,
Cracheurs,Zach Benson,F,BUF,950000,0,Club École,,
Cracheurs,Jared McCann,F,SEA,5000000,0,Club École,,
Cracheurs,Frank Nazar,F,CHI,950000,0,Club École,,
Cracheurs,Cole Perfetti,F,WPG,3250000,0,Club École,,
Cracheurs,Mario Ferraro,D,SJS,3250000,0,Club École,,
Cracheurs,Maveric Lamoureux,D,UTA,887000,0,Club École,,
Cracheurs,Tristan Luneau,D,ANA,865000,0,Club École,,
Cracheurs,Scott Morrow,D,NYR,917000,0,Club École,,
Cracheurs,David Reinbacher,D,MTL,918000,0,Club École,,
Cracheurs,Matthew Schaefer,D,NYI,975000,0,Club École,,
Cracheurs,Joey Daccord,G,SEA,5000000,0,Grand Club,Actif,
Cracheurs,Lukas Dostal,G,ANA,6500000,0,Grand Club,Actif,
Cracheurs,Leevi Merilainen,G,OTT,1050000,0,Club École,,
Cracheurs,Stuart Skinner,G,PIT,2600000,0,Club École,,
Nordiques,Drake Batherson,F,OTT,4975000,0,Grand Club,Actif,
Nordiques,Jackson Blake,F,CAR,906000,0,Grand Club,Actif,
Nordiques,Matt Boldy,F,MIN,7000000,0,Grand Club,Actif,
Nordiques,Ivan Demidov,F,MTL,941000,0,Grand Club,Actif,
Nordiques,Cutter Gauthier,F,ANA,950000,0,Grand Club,Actif,
Nordiques,Artturi Lehkonen,F,COL,4500000,0,Grand Club,Actif,
Nordiques,Kirill Marchenko,F,CBJ,3850000,0,Grand Club,Actif,
Nordiques,Ryan Nugent-Hopkins,F,EDM,5125000,0,Grand Club,Actif,
Nordiques,Sam Reinhart,F,FLA,8625000,0,Grand Club,Actif,
Nordiques,Beckett Sennecke,F,ANA,943000,0,Grand Club,Actif,
Nordiques,Fedor Svechkov,F,NSH,925000,0,Grand Club,Actif,
Nordiques,Dmitry Voronkov,F,CBJ,4175000,0,Grand Club,Actif,
Nordiques,John Carlson,D,WSH,8000000,0,Grand Club,Actif,
Nordiques,Noah Dobson,D,MTL,9500000,0,Grand Club,Actif,
Nordiques,Ryker Evans,D,SEA,2050000,0,Grand Club,Actif,
Nordiques,Cale Makar,D,COL,9000000,0,Grand Club,Actif,
Nordiques,Josh Morrissey,D,WPG,6250000,0,Grand Club,Actif,
Nordiques,Darren Raddysh,D,TBL,975000,0,Grand Club,Actif,
Nordiques,Connor Bedard,F,CHI,950000,0,Club École,,
Nordiques,Caleb Desnoyers,F,UTA,100000,0,Club École,,
Nordiques,James Hagens,F,BOS,100000,0,Club École,,
Nordiques,Isaac Howard,F,EDM,950000,0,Club École,,
Nordiques,Ville Koivunen,F,PIT,806000,0,Club École,,
Nordiques,Ryan Leonard,F,WSH,950000,0,Club École,,
Nordiques,Connor McMichael,F,WSH,2100000,0,Club École,,
Nordiques,Michael Misa,F,SJS,975000,0,Club École,,
Nordiques,L.J. Mooney,F,MTL,100000,0,Club École,,
Nordiques,Bradly Nadeau,F,CAR,887000,0,Club École,,
Nordiques,Jake OBrien,F,SEA,975000,0,Club École,,
Nordiques,Sam OReilly,F,TBL,932000,0,Club École,,
Nordiques,Lukas Reichel,F,VAN,1200000,0,Club École,,
Nordiques,Marco Rossi,F,VAN,5000000,0,Club École,,
Nordiques,Jimmy Snuggerud,F,STL,950000,0,Club École,,
Nordiques,Logan Stankoven,F,CAR,814000,0,Club École,,
Nordiques,Kashawn Aitcheson,D,NYI,100000,0,Club École,,
Nordiques,Adam Fox,D,NYR,9500000,0,Club École,,
Nordiques,Victor Hedman,D,TBL,8000000,0,Club École,,
Nordiques,Cole Hutson,D,WSH,100000,0,Club École,,
Nordiques,Brandon Montour,D,SEA,7143000,0,Club École,,
Nordiques,Jackson Smith,D,CBJ,100000,0,Club École,,
Nordiques,Yaroslav Askarov,G,SJS,2000000,0,Grand Club,Actif,
Nordiques,Logan Thompson,G,WSH,5850000,0,Grand Club,Actif,
Nordiques,Jakub Dobes,G,MTL,965000,0,Club École,,
Nordiques,Ilya Nabokov,G,COL,975000,0,Club École,,
Nordiques,Anthony Stolarz,G,TOR,2500000,0,Club École,,
Prédateurs,Denver Barkey,F,PHI,863000,0,Grand Club,Actif,
Prédateurs,Kyle Connor,F,WPG,7143000,0,Grand Club,Actif,
Prédateurs,Morgan Geekie,F,BOS,5500000,0,Grand Club,Actif,
Prédateurs,Clayton Keller,F,UTA,7150000,0,Grand Club,Actif,
Prédateurs,Adrian Kempe,F,LAK,5500000,0,Grand Club,Actif,
Prédateurs,Benjamin Kindel,F,PIT,975000,0,Grand Club,Actif,
Prédateurs,Matthew Knies,F,TOR,7750000,0,Grand Club,Actif,
Prédateurs,Connor McDavid,F,EDM,12500000,0,Grand Club,Actif,
Prédateurs,Martin Necas,F,COL,6500000,0,Grand Club,Actif,
Prédateurs,Aliaksei Protas,F,WSH,3375000,0,Grand Club,Actif,
Prédateurs,Lucas Raymond,F,DET,8075000,0,Grand Club,Actif,
Prédateurs,Danila Yurov,F,MIN,950000,0,Grand Club,Actif,
Prédateurs,Zeev Buium,D,VAN,967000,0,Grand Club,Actif,
Prédateurs,Brent Burns,D,COL,1000000,0,Grand Club,Actif,
Prédateurs,Louis Crevier,D,CHI,900000,0,Grand Club,Actif,
Prédateurs,Simon Edvinsson,D,DET,894000,0,Grand Club,Actif,
Prédateurs,Shayne Gostisbehere,D,CAR,3200000,0,Grand Club,Actif,
Prédateurs,Jackson LaCombe,D,ANA,925000,0,Grand Club,Actif,
Prédateurs,Dmitri Buchelnikov,F,DET,100000,0,Club École,,
Prédateurs,Igor Chernyshov,F,SJS,934000,0,Club École,,
Prédateurs,Nate Danielson,F,DET,887000,0,Club École,,
Prédateurs,Tyson Foerster,F,PHI,3750000,0,Club École,,
Prédateurs,Conor Geekie,F,TBL,887000,0,Club École,,
Prédateurs,Brandon Hagel,F,TBL,6500000,0,Club École,,
Prédateurs,Lynden Lakovic,F,WSH,975000,0,Club École,,
Prédateurs,William Nylander,F,TOR,11500000,0,Club École,,
Prédateurs,Gabe Perreault,F,NYR,942000,0,Club École,,
Prédateurs,Ilya Protas,F,WSH,857000,0,Club École,,
Prédateurs,Calum Ritchie,F,NYI,918000,0,Club École,,
Prédateurs,Ryder Ritchie,F,MIN,100000,0,Club École,,
Prédateurs,Dylan Strome,F,WSH,5000000,0,Club École,,
Prédateurs,Robert Thomas,F,STL,8125000,0,Club École,,
Prédateurs,Luca Cagnoni,D,SJS,895000,0,Club École,,
Prédateurs,Sam Dickinson,D,SJS,943000,0,Club École,,
Prédateurs,Caden Price,D,SEA,835000,0,Club École,,
Prédateurs,Connor Hellebuyck,G,WPG,8500000,0,Grand Club,Actif,
Prédateurs,Karel Vejmelka,G,UTA,4750000,0,Grand Club,Actif,
Prédateurs,Trey Augustine,G,DET,100000,0,Club École,,
Prédateurs,Samuel Ersson,G,PHI,1450000,0,Club École,,
Prédateurs,Darcy Kuemper,G,LAK,5250000,0,Club École,,
Prédateurs,Sergei Murashov,G,PIT,861000,0,Club École,,
Red Wings,Zack Bolduc,F,MTL,863000,0,Grand Club,Actif,
Red Wings,Bobby Brink,F,PHI,1500000,0,Grand Club,Actif,
Red Wings,Quinton Byfield,F,LAK,6250000,0,Grand Club,Actif,
Red Wings,Pavel Dorofeyev,F,VGK,1835000,0,Grand Club,Actif,
Red Wings,Leon Draisaitl,F,EDM,14000000,0,Grand Club,Actif,
Red Wings,Dalibor Dvorsky,F,STL,887000,0,Grand Club,Actif,
Red Wings,Emil Heineman,F,NYI,1100000,0,Grand Club,Actif,
Red Wings,Patrick Kane,F,DET,3000000,0,Grand Club,Actif,
Red Wings,Mackie Samoskevich,F,FLA,775000,0,Grand Club,Actif,
Red Wings,Nick Schmaltz,F,UTA,5850000,0,Grand Club,Actif,
Red Wings,John Tavares,F,TOR,4388000,0,Grand Club,Actif,
Red Wings,Alex Tuch,F,BUF,4750000,0,Grand Club,Actif,
Red Wings,Evan Bouchard,D,EDM,10500000,0,Grand Club,Actif,
Red Wings,Vince Dunn,D,SEA,7350000,0,Grand Club,Actif,
Red Wings,Oliver Ekman-Larsson,D,TOR,3500000,0,Grand Club,Actif,
Red Wings,Mike Matheson,D,MTL,4875000,0,Grand Club,Actif,
Red Wings,Axel Sandin Pellikka,D,DET,918000,0,Grand Club,Actif,
Red Wings,Moritz Seider,D,DET,8550000,0,Grand Club,Actif,
Red Wings,Michael Brandsegg-Nygard,F,DET,943000,0,Club École,,
Red Wings,Ryan Donato,F,CHI,4000000,0,Club École,,
Red Wings,Kent Johnson,F,CBJ,1800000,0,Club École,,
Red Wings,Marco Kasper,F,DET,887000,0,Club École,,
Red Wings,Porter Martone,F,PHI,100000,0,Club École,,
Red Wings,Rutger McGroarty,F,PIT,950000,0,Club École,,
Red Wings,Roger McQueen,F,ANA,100000,0,Club École,,
Red Wings,Alexander Zharovsky,F,MTL,100000,0,Club École,,
Red Wings,Philip Broberg,D,STL,4581000,0,Club École,,
Red Wings,David Jiricek,D,MIN,918000,0,Club École,,
Red Wings,Logan Mailloux,D,STL,875000,0,Club École,,
Red Wings,Radim Mrtka,D,BUF,975000,0,Club École,,
Red Wings,Shakir Mukhamadullin,D,SJS,1000000,0,Club École,,
Red Wings,Alexander Nikishin,D,CAR,925000,0,Club École,,
Red Wings,Jake Walman,D,EDM,3400000,0,Club École,,
Red Wings,Mackenzie Blackwood,G,COL,5250000,0,Grand Club,Actif,
Red Wings,Daniel Vladar,G,PHI,3350000,0,Grand Club,Actif,
Red Wings,Pyotr Kochetkov,G,CAR,2000000,0,Grand Club,Actif,
Red Wings,Scott Wedgewood,G,COL,1500000,0,Grand Club,Actif,
Red Wings,Adin Hill,G,VGK,6250000,0,Club École,,
Red Wings,Joel Hofer,G,STL,3400000,0,Club École,,
